,hospital_id,year,staff_group,prod_hrs,prodhrs_adjptday
0,106010735,2009,Management & Supervision,63558,1.17
1,106010735,2009,Technician & Specialist,163706,3.02
2,106010735,2009,Registered Nurse,180034,3.32
3,106010735,2009,Licensed Vocational Nurse,22323,0.41
4,106010735,2009,Aides & Orderlies,97205,1.79
5,106010735,2009,Clerical & Other Administrative,134039,2.47
6,106010735,2009,Environmental & Food Services,80229,1.48
7,106010735,2009,Other,0,0.0
8,106010735,2009,Contracted Registry Nursing,31481,0.58
9,106010735,2009,Contracted Other,8390,0.15
10,106010735,2009,Daily Cost Centers,260972,4.82
11,106010735,2009,Ambulatory Cost Centers,46532,0.86
12,106010735,2009,Ancillary Cost Centers,196650,3.63
13,106010735,2009,Education Cost Centers,0,0.0
14,106010735,2009,General Services Cost Centers,145124,2.68
15,106010735,2009,Fiscal Services Cost Centers,53108,0.98
16,106010735,2009,Administrative Services Cost Centers,78579,1.45
17,106010739,2009,Management & Supervision,205117,1.21
18,106010739,2009,Technician & Specialist,902371,5.33
19,106010739,2009,Registered Nurse,1322810,7.82
20,106010739,2009,Licensed Vocational Nurse,109242,0.65
21,106010739,2009,Aides & Orderlies,161345,0.95
22,106010739,2009,Clerical & Other Administrative,566100,3.35
23,106010739,2009,Environmental & Food Services,365945,2.16
24,106010739,2009,Other,60051,0.36
25,106010739,2009,Contracted Registry Nursing,94164,0.56
26,106010739,2009,Contracted Other,40021,0.24
27,106010739,2009,Daily Cost Centers,1461261,8.64
28,106010739,2009,Ambulatory Cost Centers,198081,1.17
29,106010739,2009,Ancillary Cost Centers,1016398,6.01
30,106010739,2009,Education Cost Centers,5761,0.03
31,106010739,2009,General Services Cost Centers,670770,3.97
32,106010739,2009,Fiscal Services Cost Centers,127888,0.76
33,106010739,2009,Administrative Services Cost Centers,347007,2.05
34,106010776,2009,Management & Supervision,369775,3.91
35,106010776,2009,Technician & Specialist,1270155,13.43
36,106010776,2009,Registered Nurse,910869,9.63
37,106010776,2009,Licensed Vocational Nurse,35560,0.38
38,106010776,2009,Aides & Orderlies,94571,1.0
39,106010776,2009,Clerical & Other Administrative,678994,7.18
40,106010776,2009,Environmental & Food Services,255009,2.7
41,106010776,2009,Other,236547,2.5
42,106010776,2009,Contracted Registry Nursing,15639,0.17
43,106010776,2009,Contracted Other,147746,1.56
44,106010776,2009,Daily Cost Centers,876774,9.27
45,106010776,2009,Ambulatory Cost Centers,458673,4.85
46,106010776,2009,Ancillary Cost Centers,870142,9.2
47,106010776,2009,Education Cost Centers,655765,6.93
48,106010776,2009,General Services Cost Centers,637945,6.75
49,106010776,2009,Fiscal Services Cost Centers,198495,2.1
50,106010776,2009,Administrative Services Cost Centers,205979,2.18
51,106010782,2009,Management & Supervision,12729,1.28
